Thể loại hành chính,Tên gọi
Quận,Ba Đình
Quận,Bắc Từ Liêm
Quận,Cầu Giấy
Quận,Đống Đa
Quận,Hà Đông
Quận,Hai Bà Trưng
Quận,Hoàn Kiếm
Quận,Hoàng Mai
Quận,Long Biên
Quận,Nam Từ Liêm
Quận,Tây Hồ
Quận,Thanh Xuân
Thị xã,Sơn Tây
Huyện,Ba Vì
Huyện,Chương Mỹ
Huyện,Đan Phượng
Huyện,Đông Anh
Huyện,Gia Lâm
Huyện,Hoài Đức
Huyện,Mê Linh
Huyện,Mỹ Đức
Huyện,Phú Xuyên
Huyện,Phúc Thọ
Huyện,Quốc Oai
Huyện,Sóc Sơn
Huyện,Thạch Thất
Huyện,Thanh Oai
Huyện,Thanh Trì
Huyện,Thường Tín
Huyện,Ứng Hoà